Notaria 38;;;liquidaciones;;EM1c31s38;29;115;04/04/2026;20/08/2026;;;;;;274;;;;;;;
Escritura;Nir;Responsable;Gobernacion;Correo;Notificado;Cert;Pago;Copias;Fecha_liq;Actas;Fecha_Pago;Radicado;Ingreso;Estado_Ctl;Observaciones;;;;;;;
6824;NO;NO;NO;Si;NO;NO;NO;Si;NO;Sin Actas;NO;NO;NO;NO;NO;;;;;;;
Escritura;Nir;Responsable;Gobernacion;correo;Notificacion;Cert;Pago;Copias;Fecha_liq;Benef;Fecha_Pago;Radicado;Ingreso;Estado_Ctl;Observaciones;;;;;;;
6063;26101923917578;Bancolombia;Cundinamarca;p@gmail.com;Enviado;784;Si;16-08-26;16-08-26;18-08-26;18-08-26;202605452;No;;;;;;;;;
6101;26101923907280;;Cundinamarca;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5971;26101923907357;;Cundinamarca;;Enviado;;Si;18-08-26;18-08-26;19-08-26;18-08-26;;No;;;;;;;;;
6053;26101923886542;;Cundinamarca;;Enviado;;Si;18-08-26;18-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5171;26101923887716;;Cundinamarca;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6236;26101923927245;;Cundinamarca;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6405;26101923927486;;Cundinamarca;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5878;26101923887584;;Cundinamarca;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6069;26101923887640;;Cundinamarca;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5851;26101923926875;;Cundinamarca;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5966;26101923909013;;Casanare;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6400;26101923928155;;Casanare;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6311;26101923928075;;Casanare;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5955;26101923921276;;Meta;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6139;26101923923718;;Meta;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5927;26101923921225;;Valledupar;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6202;26101923925417;;Boyacá;;Enviado;;Si;18-08-26;18-08-26;00-01-00;18-08-26;;No;;;;;;;;;
6418;26101923919535;;Quindio;;Enviado;;Si;18-08-26;18-08-26;00-01-00;00-01-00;;No;;;;;;;;;
6239;26101923912565;;Quindio;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6279;26101923912838;;Atlantico;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6276;26101923918610;;Atlantico;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6242;26101923918646;;Atlantico;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5478;26101923842177;;Atlantico;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6189;26101923906687;;Atlantico;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6217;26101923906466;;Atlantico;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5958;26101923906401;;Atlantico;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6059;26101923886257;;Atlantico;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5707;26101923862535;;Atlantico;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5565;26101923853519;;Atlantico;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6386;26101923919743;;Atlantico;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6203;26101923907136;;Atlantico;;Enviado;;Si;18-08-26;18-08-26;00-01-00;18-08-26;;No;;;;;;;;;
5009;26101923797986;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;00-01-00;00-01-00;;No;;;;;;;;;
5347;26101923871020;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5948;26101923882316;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5586;26101923885532;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;00-01-00;18-08-26;;No;;;;;;;;;
5287;26101923870237;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5920;26101923882193;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
4962;26101923792553;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;00-01-00;18-08-26;;No;;;;;;;;;
5154;26101923862578;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5829;26101923869582;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5503;26101923873083;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5540;26101923871065;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5762;26101923877269;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5804;26101923878058;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
5838;26101923921005;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6118;26101923913687;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
6117;26101923913545;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;00-01-00;18-08-26;;No;;;;;;;;;
5319;26101923870914;;Antioquia;;Enviado;;Si;18-08-26;18-08-26;18-08-26;18-08-26;;Si;No;;;;;;;;
